Rank,Team,Value,Revenue,O_Income,Year
30,Rays,485,181,15.3,2014
1,Yankees,3200,508,8.1,2015
2,Dodgers,2400,403,-12.2,2015
3,Red Sox,2100,370,49.2,2015
4,Giants,2000,387,68.4,2015
5,Cubs,1800,302,73.3,2015
6,Cardinals,1400,294,73.6,2015
7,Mets,1350,263,25,2015
8,Angels,1300,304,16.7,2015
9,Nationals,1280,287,41.4,2015
10,Phillies,1250,265,-39,2015
11,Rangers,1220,266,3.5,2015
12,Braves,1150,267,33.2,2015
13,Tigers,1125,254,-20.7,2015
14,Mariners,1100,250,26.4,2015
15,Orioles,1000,245,31.4,2015
16,White Sox,975,227,31.9,2015
17,Pirates,900,229,43.6,2015
18,Twins,895,223,21.3,2015
19,Padres,890,224,35,2015
20,Reds,885,227,2.2,2015
21,Brewers,875,226,11.3,2015
22,Blue Jays,870,227,-17.9,2015
23,Rockies,855,214,12.6,2015
24,Diamondbacks,840,211,-2.2,2015
25,Indians,825,207,8.9,2015
26,Astros,800,175,21.6,2015
27,Athletics,725,202,20.8,2015
28,Royals,700,231,26.6,2015
29,Marlins,650,188,15.4,2015
30,Rays,625,188,7.9,2015
1,Yankees,3400,516,13,2016
2,Dodgers,2500,438,-73.2,2016
3,Red Sox,2300,398,43.2,2016
4,Giants,2250,409,72.6,2016
5,Cubs,2200,340,50.8,2016
6,Mets,1650,313,46.8,2016
7,Cardinals,1600,300,59.8,2016
8,Angels,1340,312,41.7,2016
9,Nationals,1300,293,22.5,2016
10,Phillies,1240,263,-8.9,2016
11,Rangers,1230,275,-4.7,2016
12,Mariners,1200,271,17,2016
13,Braves,1180,266,28,2016
14,Tigers,1150,268,11,2016
15,Astros,1100,270,67,2016
16,White Sox,1050,240,20,2016
17,Orioles,1000,239,9,2016
18,Pirates,975,244,35,2016
19,Diamondbacks,925,223,17,2016
20,Twins,910,240,19,2016
21,Reds,905,237,9,2016
22,Blue Jays,900,241,1.2,2016
23,Padres,890,244,33,2016
24,Brewer,875,234,27,2016
25,Royals,865,273,39,2016
26,Rockies,860,227,5.5,2016
27,Indians,800,220,18,2016
28,Athletics,725,208,33,2016
29,Marlins,675,199,16,2016
30,Rays,650,193,8,2016
